Type d'erreur	Erreur observée	Correction proposée	Fréquence dans l'échantillon	Frequence dans TGB	Date corpus	Date océrisation( voir gaël)	Remarque
Remplacement	d'Amalthée(9).DansPindare	d'Amalthée (9). Dans Pindare					
Remplacement	d'amélioralion	d’amélioration					
Remplacement	d'Anlicyre	d’Anticyre					
Remplacement	D'apr^s	D’après					
Remplacement	d'ar^	d’art					
Remplacement	D'ARCH^OLOGIE	D’ARCHÉOLOGIE					
Remplacement	D'ARGENTRENCONTRE	D'ARGENT RENCONTRE					
Remplacement	d'Arislojdiane	d’Aristophane					
Remplacement	d'Arislophanc	d’Aristophane					
Remplacement	d'Ath^nes	d’Athènes					
Remplacement	d'Ath^nM	d’Athènes					
Remplacement	d'aTHÈNES	D’ATHÈNES					
Concatenation	D'ATII ÈiNES	D’ATHÈNES					
Remplacement	d'Atliônos	d’Athènes					
Remplacement	D'aulre	D’autre					
Remplacement	d'aulres	d’autres					
Remplacement	d'cnCancc	d’enfance					
Remplacement	d'ctonnement	d’étonnement					
Remplacement	d'dt^	d’été					
Remplacement	d'e.\emplaires	d’exemplaires					
Remplacement	d'ébau-clier	d’ébaucher					
Remplacement	d'em'oi	d’envoi					
Remplacement	d'Esculapc	d’Esculape					
Remplacement	d'HerakIcion	d’Héraklion					
Remplacement	d'ilalic	d’Italie					
Remplacement	d'ime	d’une					
Remplacement	d'imporlancc	d’importance					
Remplacement	d'insisler	d’insister					
Remplacement	d'int^r^t	d’intérêt					
Remplacement	d'jiillenrs	d’ailleurs					
Remplacement	d'ornementsen	d’ornements en					
Remplacement	d’)ètre	d’être					
Remplacement	d’Alhcncs	d’Athènes					
Remplacement	d’Alhèncs	d’Athènes					
Remplacement	D’ANcIES	D’ANCIEN					
Remplacement	d’appli<|uera	d’appliquer à					
Remplacement	d’Artdmis	d’Artémis					
Concatenation	d’au- tre	d’autre					
Concatenation	d’au- tres	d’autres					
Concatenation	d’ê- tre	d’être					
Remplacement	d’ê’tre	d’être					
Concatenation	d’encou- rir	d’encourir					
Remplacement	d’enlon-noir	d’entonnoir					
Remplacement	d’ètre	d’être					
Remplacement	d’intliger	d’infliger					
Remplacement	d’nne	d’une					
Remplacement	d’ofl’rir	d’offrir					
Remplacement	d’oti	d’où					
Remplacement	d’urie	d’une					
Remplacement	"d""érudits"	d’érudits					
Remplacement	d*A4hênes	d’Athènes					
Remplacement	d*Antium;	d’Antium;					
Remplacement	d*après	d’après					
Remplacement	d*Aricia	d’Aricia					
Remplacement	d*étre	d’être					
Remplacement	d*ètre	d’être					
Remplacement	d*exercer	d’exercer					
Remplacement	D*HIBT01RS	D’HISTOIRE					
Remplacement	d*ornements	d’ornements					
Remplacement	d^Éleusis	d’Éleusis					
Remplacement	d^livr^s	délivrés					
Remplacement	d^placent	déplacent					
Remplacement	d^s	des					
Remplacement	d^ves	élèves					
Remplacement	DaDS	Dans					
Remplacement	DAHCHÉOLOGUKS	D’ARCHÉOLOGUES					
Remplacement	DAllKMBERG	DAREMBERG					
Remplacement	dalo	date					
Remplacement	dansla	dans la	231				
Remplacement	Dansla	dansla	13				
Concaténation	dansles	dans les	304				
Concaténation	Dansles	dans les	13				
Remplacement	Darcmberg	Daremberg					
Remplacement	Darembeig	Daremberg					
Remplacement	Dartliès	Darthès					
